session 1, vis = '1', n_trials = 14
session 21, vis = '3', n_trials = 10
session 22, vis = '1', n_trials = 13
session 22, vis = '2', n_trials = 5
session 22, vis = '3', n_trials = 13
session 23, vis = '1', n_trials = 12
session 23, vis = '2', n_trials = 7
session 23, vis = '3', n_trials = 12
session 24, vis = '1', n_trials = 15
session 24, vis = '2', n_trials = 7
session 24, vis = '3', n_trials = 9
session 25, vis = '1', n_trials = 13
session 25, vis = '2', n_trials = 8
session 25, vis = '3', n_trials = 10
session 26, vis = '1', n_trials = 15
session 26, vis = '2', n_trials = 10
session 26, vis = '3', n_trials = 6
session 27, vis = '1', n_trials = 16
session 27, vis = '2', n_trials = 6
session 27, vis = '3', n_trials = 10
session 28, vis = '1', n_trials = 17
session 28, vis = '2', n_trials = 8
session 28, vis = '3', n_trials = 7
session 29, vis = '1', n_trials = 14
session 29, vis = '2', n_trials = 12
session 29, vis = '3', n_trials = 6
session 30, vis = '1', n_trials = 14
session 30, vis = '2', n_trials = 3
session 30, vis = '3', n_trials = 13
session 31, vis = '1', n_trials = 13
session 31, vis = '2', n_trials = 10
session 31, vis = '3', n_trials = 8
session 32, vis = '1', n_trials = 17
session 32, vis = '2', n_trials = 4
session 32, vis = '3', n_trials = 10
session 33, vis = '1', n_trials = 14
session 33, vis = '2', n_trials = 5
session 33, vis = '3', n_trials = 12
session 34, vis = '1', n_trials = 10
session 34, vis = '2', n_trials = 12
session 34, vis = '3', n_trials = 7
session 35, vis = '1', n_trials = 14
session 35, vis = '2', n_trials = 5
session 35, vis = '3', n_trials = 12
session 36, vis = '1', n_trials = 15
session 36, vis = '2', n_trials = 4
session 36, vis = '3', n_trials = 11
session 37, vis = '1', n_trials = 16
session 37, vis = '2', n_trials = 5
session 37, vis = '3', n_trials = 11
session 38, vis = '1', n_trials = 13
session 38, vis = '2', n_trials = 7
session 38, vis = '3', n_trials = 11
session 39, vis = '1', n_trials = 16
session 39, vis = '2', n_trials = 7
session 39, vis = '3', n_trials = 9
session 40, vis = '1', n_trials = 14
session 40, vis = '2', n_trials = 8
session 40, vis = '3', n_trials = 9
session 41, vis = '1', n_trials = 14
session 41, vis = '2', n_trials = 10
session 41, vis = '3', n_trials = 7
session 42, vis = '1', n_trials = 13
session 42, vis = '2', n_trials = 6
session 42, vis = '3', n_trials = 12
session 43, vis = '1', n_trials = 13
session 43, vis = '2', n_trials = 6
session 43, vis = '3', n_trials = 12
session 44, vis = '1', n_trials = 13
session 44, vis = '2', n_trials = 10
session 44, vis = '3', n_trials = 9
session 45, vis = '1', n_trials = 11
session 45, vis = '2', n_trials = 10
session 45, vis = '3', n_trials = 9
session 46, vis = '1', n_trials = 12
session 46, vis = '2', n_trials = 7
session 46, vis = '3', n_trials = 12
session 47, vis = '1', n_trials = 12
session 47, vis = '2', n_trials = 10
session 47, vis = '3', n_trials = 8
session 48, vis = '1', n_trials = 12
session 48, vis = '2', n_trials = 13
session 48, vis = '3', n_trials = 7
session 49, vis = '2', n_trials = 11
session 49, vis = '3', n_trials = 6
session 50, vis = '1', n_trials = 14
session 50, vis = '2', n_trials = 9
session 50, vis = '3', n_trials = 9
session 51, vis = '1', n_trials = 12
session 51, vis = '2', n_trials = 13
session 51, vis = '3', n_trials = 6
session 52, vis = '1', n_trials = 13
session 52, vis = '2', n_trials = 15
session 52, vis = '3', n_trials = 3
session 53, vis = '2', n_trials = 15
session 53, vis = '3', n_trials = 3
session 54, vis = '1', n_trials = 11
session 54, vis = '2', n_trials = 8
session 54, vis = '3', n_trials = 8
session 55, vis = '1', n_trials = 12
session 55, vis = '2', n_trials = 14
session 55, vis = '3', n_trials = 6
session 56, vis = '1', n_trials = 10
session 56, vis = '2', n_trials = 15
session 56, vis = '3', n_trials = 4

vis = 1.0,mean frames = 2.00000
vis = 1.0,prob(press 1) = 0.5226, p(press 2) = 0.4774

vis = 2.0,mean frames = 3.00000
vis = 2.0,prob(press 1) = 0.6198, p(press 2) = 0.3802

vis = 3.0,mean frames = 4.00000
vis = 3.0,prob(press 1) = 0.4130, p(press 2) = 0.5870
vis = '1',N = 648,mean frames = 2.05 +/- 1.22
p(correct) = 0.5478
RT = 0.485 +/- 0.249
vis = '2',N = 415,mean frames = 3.24 +/- 1.40
p(correct) = 0.7687
RT = 0.551 +/- 0.291
vis = '3',N = 452,mean frames = 4.14 +/- 1.71
p(correct) = 0.9513
RT = 0.425 +/- 0.253
